,Ticker,Exchange,Name,Clean_Name
475,SRCG,SIX , Sunrise Communications, Sunrise Communications
476,TGS,OSLO , Tgs-Nopec Geophysical Company Asa, Tgs-Nopec Geophysical Company
477,TOM,OSLO , Tomra Systems Asa, Tomra Systems
478,TOP,OMXC , Topdanmark A/S, Topdanmark
479,UDG,LDN , UDG Healthcare Public Limited, Udg Healthcare Public
480,VALMT,HELS , Valmet Oyj, Valmet
481,VACN,SIX , Vat Group, Vat Group
482,VIS,ESP , Viscofan Sa, Viscofan
483,WDP,ENXB , WDP - Warehouses De Pauw, WDP - Warehouses De Pauw
484,ADS,XETR , Adidas Ag, Adidas
485,ALC,SIX , Alcon Ag, Alcon
486,ALS800T,XETR , Allianz Se, Allianz
487,AMS,SIX , AMS Ag, Ams
488,ASM,ENXA , ASM International, ASM International
489,BAYN,XETR , Bayer Ag, Bayer
490,BEAN,SIX , Belimo Holding Ag, Belimo Holding
491,BME,ESP , Bolsas Y Mercados, Bolsas Y Mercados
492,CMBN,SIX , Cembra Money Bank N Ord, Cembra Money Bank N
493,DAI,XETR , Daimler Ag, Daimler
494,LHA,XETR , Deutsche Lufthansa Ag, Deutsche Lufthansa
495,DOM,OMX , Dometic Group, Dometic Group
496,GALE,SIX , Galenica Sante, Galenica Sante
497,GETIB,OMX , Getinge Ab, Getinge
498,HLE,XETR , Hella Gmbh & Company Kgaa, Hella Gmbh & Company Kgaa
499,LOOMB,OMX , Loomis Ab, Loomis
500,PAH3,XETR , Porsche Automobil Holding Se, Porsche Automobil Holding
501,SOP,ENXP , Sopra Steria Group, Sopra Steria Group
502,SPIE,ENXP , Spie Sa, Spie
503,TKWY,ENXA , Takeaway Com, Takeaway Com
504,TECN,SIX , Tecan Group Ag, Tecan Group
505,WIE,WIEN , Wienerberger Ag, Wienerberger
506,ZAL,XETR , Zalando, Zalando
507,BAS,XETR , BASF Se, Basf
508,BC8,XETR , Bechtle Ag, Bechtle
509,BEI,XETR , Beiersdorf Ag, Beiersdorf
510,BMW,XETR , BMW Agency, BMW Agency
511,BOSS,XETR , Hugo Boss Ag, Hugo Boss
512,BNR,XETR , Brenntag Ag, Brenntag
513,AFX,XETR , Carl Zeiss Meditec Ag, Carl Zeiss Meditec
514,CBK,XETR , Commerzbank Ag, Commerzbank
515,CONT,XETR , Continental Ag, Continental
516,1COV,XETR , Covestro Ag, Covestro
517,DHER,XETR , Delivery Hero Agency, Delivery Hero Agency
518,DB1,XETR , Deutsche Boerse Ag, Deutsche Boerse
519,DPW,XETR , Deutsche Post Ag, Deutsche Post
520,DTE,XETR , Deutsche Telekom Ag, Deutsche Telekom
521,EOAN,XETR , E.On, E.On
522,EVK,XETR , Evonik Industries Ag, Evonik Industries
523,EVT,XETR , Evotec Se, Evotec
